"('Pizza', 'Snaptu')",29
"('Bones', 'Drinking')",13
"('Nemo', 'Prayer')",18
"('FrontierVille', 'Horoscopes')",52
"('BMW', 'History')",3
"('Lifetime', 'Monica')",9
"('LMFAO', 'PetVille')",2
"('Avatar', 'Basketball')",953
"('God', 'Nickelback')",22
"('Creed', 'Goodfellas')",1
"('Cuddling', 'Tisto')",1
"('Horoscopes', 'Hunting')",26
"('Superbad', 'Tennis')",59
"('Golf', 'MTV')",11
"('NBA', 'Titanic')",4
"('Avatar', 'Barbie')",476
"('Reggaeton', 'Transformers')",4
"('Monopoly', 'NASCAR')",40
"('Facebook', 'Nutella')",22
"('Facebook', 'Graffiti')",71
"('Inception', 'Spartacus')",1
"('Nirvana', 'Tennis')",1
"('Family', 'Supernatural')",1
"('Rammstein', 'Rubberduckzilla')",8
"('Chess', 'Lost')",5
"('MTV', 'Singing')",14
"('Superbad', 'bubblewrap')",1
"('Cricket', 'Singing')",2
"('Camping', 'Gardening')",13
"('Metallica', 'Salt')",2
"('Pepsi', 'Pitbull')",158
"('History', 'House')",4036
"('Supernatural', 'iPhone')",6
"('Maxwell', 'Twilight')",3
"('India', 'Mario')",40
"('Soccer', 'Starburst')",203
"('Avatar', 'CNN')",44
"('Soccer', 'bebe')",4
"('Bing', 'ChicagoBears')",1
"('Saw', 'Twitter')",4
"('Mario', 'Skype')",2
"('Avatar', 'Bones')",248
"('25', 'DORY')",8
"('Smallville', 'Smiling')",273
"('Painting', 'Ronaldinho')",1
"('LMFAO', 'Photography')",10
"('Reading', 'Travel')",77
"('Common', 'DORY')",120
"('Wine', 'iPod')",18
"('Rammstein', 'iPhone')",1
"('CityVille', 'FCBarcelona')",1
"('Jazz', 'Netflix')",1
"('AKON', 'Clinique')",5
"('Music', 'Slash')",14
"('Hugging', 'LinkinPark')",1
"('Games', 'Shakira')",15
"('2pac', 'Drawing')",3
"('Supernatural', 'Travel')",79
"('Beer', 'Camping')",210
"('Dior', 'Monica')",2
"('Metallica', 'WWE')",3
"('Love', 'Metallica')",2242
"('Rihanna', 'SportsCenter')",8
"('Horoscopes', 'House')",1222
"('Dancing', 'Entourage')",41
"('Snickers', 'Texting')",17
"('Rock', 'Seether')",187
"('Aropostale', 'Doug')",1
"('Rugby', 'Sublime')",2
"('House', 'McLovin')",1
"('Running', 'Sleeping')",120
"('Tide', 'Tyga')",14
"('Google', 'Zoosk')",4
"('Graffiti', 'NFL')",1
"('300', 'Baseball')",137
"('MTV', 'Mario')",2028
"('Nike', 'UNO')",3
"('Jazz', 'LAUGHING')",70
"('DORY', 'Expedia')",3
"('Pringles', 'Soccer')",17
"('Nokia', 'Photography')",430
"('MTV', 'Picnik')",13
"('Avatar', 'Donkey')",6
"('Pringles', 'Rap')",335
"('Hugging', 'India')",244
"('Badoo', 'PetVille')",2
"('StarWars', 'Usher')",1
"('Cuddling', 'Summer')",1
"('Baseball', 'Boo')",13
"('Bible', 'Boo')",260
"('Bones', 'CityVille')",97
"('Football', 'Thunderstorms')",1
"('FishVille', 'Gladiator')",12
"('Xbox', 'eBuddy')",19
"('Cooking', 'Oasis')",1
"('FreedomWorks', 'Gucci')",3
"('Nokia', 'Twitter')",3
"('LuxDelux', 'Nemo')",3
"('2011', 'Mayhem')",1
"('Mario', 'Monopoly')",391
"('Bones', 'Everything')",17
"('Paramore', 'Troy')",1
"('Love', 'Nutella')",164
"('Jabbawockeez', 'Sleeping')",1
"('Tide', 'Troy')",98
"('Naruto', 'Saw')",6
"('Metallica', 'MythBusters')",123
"('HGTV', 'Marines')",1
"('Eminem', 'Usher')",5
"('Camping', 'Entourage')",2
"('Bones', 'Drama')",4
"('Gorillaz', 'Korn')",13
"('Dancing', 'Gucci')",13
"('Tisto', 'Tron')",83
"('2012', 'Dexter')",16
"('Reading', 'SonyEricsson')",2
"('Sports', 'Wwe')",5
"('Nirvana', 'Quotes')",18
"('LMFAO', 'Maltesers')",6
"('Chess', 'House')",14
"('Taken', 'Tubing')",8
"('Jeep', 'Lost')",38
"('Basshunter', 'Disturbed')",3
"('Hugging', 'Marvel')",2
"('Sushi', 'Zoosk')",11
"('FrontierVille', 'Softball')",3
"('Puma', 'Sleep')",17
"('2011', 'History')",12
"('Astrology', 'Blues')",28
"('Donkey', 'Rock')",1
"('Sugarland', 'bubblewrap')",1
"('Australia', 'ChapStick')",3
"('Bing', 'Drinking')",3
"('Love', 'Nokia')",430
"('Music', 'Weezer')",1
"('Nemo', 'Photography')",424
"('Australia', 'Bounty')",20
"('India', 'Nutella')",4
"('Misfits', 'Pandora')",1
"('TheBreastCancerSite', 'Windows')",1
"('iTunes', 'summer')",420
"('Fred', 'Hiking')",15
"('FARKLE', 'Photography')",2
"('Friday', 'Garfield')",85
"('Clinique', 'Cricket')",4
"('CrowdStar', 'Expedia')",1
"('ESPN', 'FML')",25
"('Burberry', 'Church')",52
"('Arsenal', 'Golf')",1
"('Takers', 'Walmart')",18
"('Gerber', 'Zoosk')",2
"('Singing', 'Wii')",1
"('Cuddling', 'Gucci')",2
"('Dexter', 'Korn')",2
"('Football', 'Mayhem')",8
"('Lifetime', 'Madea')",12
"('Pringles', 'Subway')",5
"('Psych', 'Smallville')",4
"('Australia', 'Cooking')",32
"('Saw', 'Traveling')",11
"('ESPN', 'Ferrari')",5
"('Twilight', 'summer')",76
"('Casino', 'Gerber')",2
"('Lost', 'Rihanna')",35
"('Glee', 'Lost')",61
"('Marvel', 'Pop')",1
"('Basketball', 'Casino')",133
"('Quotes', 'Sleep')",49
"('Goodfellas', 'Shrek')",1
